code,name,birth_year,death_year,title,first_line
APH,Alexander Pope,1688,1744,An Essay on Man: Epistle I,"Hope springs eternal in the human breast:
Man never is, but always to be blest:
The soul, uneasy and confin'd from home,
Rests and expatiates in a life to come.
Lo! the poor Indian, whose untutor'd mind
Sees God in clouds, or hears him in the wind;
His soul, proud science never taught to stray
Far as the solar walk, or milky way;"
AT,Alfred Lord Tennyson,1809,1892,In Memoriam A.H.H. 1849,"The heart that never plighted troth
      But stagnates in the weeds of sloth,
Nor any want-begotten rest.
I hold it true, whate’er befall,
      I feel it, when I sorrow most;
      ‘Tis better to have loved and lost
Than never to have loved at all."
ATP,Alfred Lord Tennyson,1809,1892,Ulysses,"It little profits that an idle king,
By this still hearth, among these barren crags,
Match'd with an aged wife, I mete and dole
Unequal laws unto a savage race,
That hoard, and sleep, and feed, and know not me.
I cannot rest from travel: I will drink
Life to the lees: All times I have enjoy'd
Greatly, have suffer'd greatly, both with those
That loved me, and alone, on shore, and when
Thro' scudding drifts the rainy Hyades"
AG,Allen Ginsberg,1927,1997,Howl,"I saw the best minds of my generation destroyed by madness, starving hysterical naked,
dragging themselves through the negro streets at dawn looking for an angry fix,
angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of night,
who poverty and tatters and hollow-eyed and high sat up smoking in the supernatural darkness of cold-water flats floating across the tops of cities contemplating jazz,
who bared their brains to Heaven under the El and saw Mohammedan angels staggering on tenement roofs illuminated,
who passed through universities with radiant cool eyes hallucinating Arkansas and Blake-light tragedy among the scholars of war,
who were expelled from the academies for crazy & publishing obscene odes on the windows of the skull,"
GA,Allen Ginsberg,1927,1997,A Supermarket in California,"What thoughts I have of you tonight, Walt Whitman, for I walked down the sidestreets under the trees with a headache self-conscious looking at the full moon.
         In my hungry fatigue, and shopping for images, I went into the neon fruit supermarket, dreaming of your enumerations!
         What peaches and what penumbras! Whole families shopping at night! Aisles full of husbands! Wives in the avocados, babies in the tomatoes!—and you, Garcia Lorca, what were you doing down by the watermelons?

         I saw you, Walt Whitman, childless, lonely old grubber, poking among the meats in the refrigerator and eyeing the grocery boys.
         I heard you asking questions of each: Who killed the pork chops? What price bananas? Are you my Angel?
         I wandered in and out of the brilliant stacks of cans following you, and followed in my imagination by the store detective.
         We strode down the open corridors together in our solitary fancy tasting artichokes, possessing every frozen delicacy, and never passing the cashier."
AM,Andrew Marvell,1621,1678,To His Coy Mistress,"Had we but world enough and time,
This coyness, lady, were no crime.
We would sit down, and think which way
To walk, and pass our long love’s day.
Thou by the Indian Ganges’ side
Shouldst rubies find; I by the tide
Of Humber would complain. I would
Love you ten years before the flood,
And you should, if you please, refuse"
AB,Anne Bradstreet,1612,1672,To my dear and loving husband,"If ever two were one, then surely we.
If ever man were loved by wife, then thee.
If ever wife was happy in a man,
Compare with me, ye women, if you can.
I prize thy love more than whole mines of gold,
Or all the riches that the East doth hold."
BJ,Ben Jonson,1572,1637,"To the Memory of My Beloved the Author, Mr. William Shakespeare","I therefore will begin. Soul of the age!
The applause, delight, the wonder of our stage!
My Shakespeare, rise! I will not lodge thee by
Chaucer, or Spenser, or bid Beaumont lie
A little further, to make thee a room:
Thou art a monument without a tomb,
And art alive still while thy book doth live
And we have wits to read and praise to give."
BC,Billy Collins,1941,,Snow Day,"But for now I am a willing prisoner in this house,
a sympathizer with the anarchic cause of snow.
I will make a pot of tea
and listen to the plastic radio on the counter,
as glad as anyone to hear the news
that the Kiddie Corner School is closed,
the Ding-Dong School, closed."
PW,Billy Collins,1941,,Cheerios,"One bright morning in a restaurant in Chicago
as I waited for my eggs and toast,
I opened the Tribune only to discover
that I was the same age as Cheerios.
 
Indeed, I was a few months older than Cheerios
for today, the newspaper announced,
was the seventieth birthday of Cheerios
whereas mine had occurred earlier in the year.

Already I could hear them whispering
behind my stooped and threadbare back,
Why that dude’s older than Cheerios
the way they used to say

Why that’s as old as the hills,
only the hills are much older than Cheerios
or any American breakfast cereal,
and more noble and enduring are the hills,

I surmised as a bar of sunlight illuminated my orange juice.
"
CB,Charles Bukowski,1920,1994,bluebird,"there’s a bluebird in my heart that 
wants to get out 
but I’m too tough for him, 
I say, stay in there, I’m not going 
to let anybody see 
you. 

there’s a bluebird in my heart 
that wants to get out 
but I pour whiskey on him and inhale 
cigarette smoke 
and the whores and the bartenders 
and the grocery clerks 
never know that 
he’s 
in there."
AE,Charles Dickens,1812,1870,A Tale of Two Cities,"It was the best of times, it was the worst of times,
    it was the age of wisdom, it was the age of foolishness,
    it was the epoch of belief, it was the epoch of incredulity,
    it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair,
    we had everything before us, we had nothing before us,
    we were all going direct to Heaven, we were all going direct the other way--in short, the period was so far like the present period that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only."
CR,Christina Rossetti,1830,1894,Goblin Market,"Morning and evening
Maids heard the goblins cry:
“Come buy our orchard fruits,
Come buy, come buy:
Apples and quinces,
Lemons and oranges,
Plump unpeck’d cherries,
Melons and raspberries,"
CM,Claude McKay,1889,1948,If We Must Die,"If we must die, let it not be like hogs
Hunted and penned in an inglorious spot,
While round us bark the mad and hungry dogs,
Making their mock at our accursèd lot.
If we must die, O let us nobly die,
So that our precious blood may not be shed
In vain; then even the monsters we defy
Shall be constrained to honor us though dead!"
