date,country,author_name,poem_title
2024-03-28,AP,Edgar Allen Poe,Annabel Lee
2024-03-29,WY,William Butler Yeats,The Second Coming
2024-03-30,JM,John Milton,On the Morning of Christ's Nativity
2024-03-31,WY,William Butler Yeats,The Second Coming
2024-04-01,GC,Geoffrey Chaucer,"The Canterbury Tales, Prologue"
2024-04-02,TB,William Butler Yeats,"Easter, 1916"
2024-04-03,BG,Gwendolyn Brooks,The Bean Eaters
2024-04-04,LH,Langston Hughes,Harlem
2024-04-05,wy,William Butler Yeats,The Second Coming
2024-04-06,AT,Alfred Lord Tennyson,In Memoriam A.H.H. 1849
2024-04-07,EE,E.E. Cummings,[little tree]
2024-04-08,HL,Henry Wadsworth Longfellow,The Song of Hiawatha
2024-04-09,gs,Gertrude Stein,Sacred Emily
2024-04-10,JK,John Keats,Ode on a Grecian Urn
2024-04-11,EC,E.E. Cummings,anyone lived in a pretty how town
2024-04-12,HL,Henry Wadsworth Longfellow,The Song of Hiawatha
2024-04-13,EP,Ezra Pound,In a Station of the Metro
2024-04-14,wb,William Blake,The Tyger
2024-04-15,GA,Allen Ginsberg,A Supermarket in California
2024-04-16,ma,Maya Angelou,Still I Rise
2024-04-17,WY,William Butler Yeats,The Second Coming
2024-04-18,AP,Edgar Allen Poe,Annabel Lee
2024-04-19,av,,
2024-04-20,EH,Emily Dickinson,“Hope” is the thing with feathers
2024-04-21,WB,William Blake,The Tyger
2024-04-22,HL,Henry Wadsworth Longfellow,The Song of Hiawatha
2024-04-23,SP,Sylvia Plath,Lady Lazarus
2024-04-24,bc,Billy Collins,Snow Day
2024-04-25,PS,Percy Shelley,Ozymandias
2024-04-26,SS,William Shakespeare,Shall I compare thee to a summer’s day?
2024-04-27,HS,John Donne,"Holy Sonnets: Death, be not proud"
2024-04-28,BJ,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare"
2024-04-29,LB,Lord Byron,She Walks in Beauty
2024-04-30,SC,Samuel Taylor Coleridge,Kubla Khan
2024-05-01,EDF,Emily Dickinson,I heard a Fly buzz - when I died -
2024-05-02,MH,Gerard Manley Hopkins,God's Grandeur
2024-05-03,WSJ,Wallace Stevens,Anecdote of the Jar
2024-05-04,RN,Robert Frost,The Road Not Taken
2024-05-05,CW,William Carlos Williams,The Red Wheelbarrow
2024-05-06,WA,Walt Whitman,Song of Myself
2024-05-07,AM,Andrew Marvell,To His Coy Mistress
2024-05-08,OC,Walt Whitman,O Captain! My Captain!
2024-05-09,AF,Jane Austen,Pride and Prejudice
2024-05-10,CM,Claude McKay,If We Must Die
2024-05-11,EM,Edna St. Vincent Millay,"What lips my lips have kissed, and where, and why"
2024-05-12,EB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43)
2024-05-13,RF,Robert Frost,Stopping By Woods on a Snowy Evening
2024-05-14,WA,Walt Whitman,Song of Myself
2024-05-15,WBL,William Blake,The Lamb
2024-05-16,AG,Toni Morrison,Beloved
2024-05-17,TS,T.S. Eliot,The Waste Land
2024-05-18,SSS,Shel Silverstein,Falling Up
2024-05-19,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock
2024-05-20,JMD,John Milton,Paradise Lost: Book 1
2024-05-21,GB,Gwendolyn Brooks,We Real Cool
2024-05-22,WS,William Shakespeare,Sonnet 97: How like a winter hath my absence been
2024-05-23,RB,Robert Browning,My Last Duchess
2024-05-24,ATP,Alfred Lord Tennyson,Ulysses
2024-05-25,KG,Khalil Gibran,On Marriage
2024-05-26,EP,Ezra Pound,In a Station of the Metro
2024-05-27,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam
2024-05-28,FR,Robert Frost,Mending Wall
2024-05-29,CB,Charles Bukowski,bluebird
2024-05-30,WYC,William Butler Yeats,Sailing to Byzantium
2024-05-31,LC,Lewis Carroll,The Jabberwocky
2024-06-01,ed,Emily Dickinson,I’m Nobody! Who are you? (260)
2024-06-02,LB,Lord Byron,She Walks in Beauty
2024-06-03,WS,William Shakespeare,Sonnet 97: How like a winter hath my absence been
2024-06-04,CR,Christina Rossetti,Goblin Market
2024-06-05,ED,Emily Dickinson,I’m Nobody! Who are you? (260)
2024-06-06,JD,John Donne,A Valediction: Forbidding Mourning
2024-06-07,PL,Paul Laurence Dunbar,We Wear the Mask
2024-06-08,SS,William Shakespeare,Shall I compare thee to a summer’s day?
2024-06-09,PS,Percy Shelley,Ozymandias
2024-06-10,WW,William Wordsworth,I wandered Lonely as a Cloud
2024-06-11,ST,Tupac Shakur,The Rose That Grew from Concrete
2024-06-12,GS,Gertrude Stein,Sacred Emily
2024-06-13,CR,Christina Rossetti,Goblin Market
2024-06-14,OC,Walt Whitman,O Captain! My Captain!
2024-06-15,CW,William Carlos Williams,The Red Wheelbarrow
2024-06-16,AF,Jane Austen,Pride and Prejudice
2024-06-17,EM,Edna St. Vincent Millay,"What lips my lips have kissed, and where, and why"
2024-06-18,AB,Anne Bradstreet,To my dear and loving husband
2024-06-19,at,Alfred Lord Tennyson,In Memoriam A.H.H. 1849
2024-06-20,au,W.H. Auden,Twelve Songs: IX
2024-06-21,ed,Emily Dickinson,I’m Nobody! Who are you? (260)
2024-06-22,bc,Billy Collins,Snow Day
2024-06-23,at,Alfred Lord Tennyson,In Memoriam A.H.H. 1849
2024-06-24,BJ,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare"
2024-06-25,AE,Charles Dickens,A Tale of Two Cities
2024-06-26,WH,W.H. Auden,Musée des Beaux Arts
2024-06-27,LH,Langston Hughes,Harlem
2024-06-28,AM,Andrew Marvell,To His Coy Mistress
2024-06-29,ST,Tupac Shakur,The Rose That Grew from Concrete
2024-06-30,gs,Gertrude Stein,Sacred Emily
2024-07-01,ad,,
2024-07-02,WSJ,Wallace Stevens,Anecdote of the Jar
2024-07-03,HS,John Donne,"Holy Sonnets: Death, be not proud"
2024-07-04,GS,Gertrude Stein,Sacred Emily
2024-07-05,PS,Percy Shelley,Ozymandias
2024-07-06,PPS,,
2024-07-07,SSS,Shel Silverstein,Falling Up
2024-07-08,EB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43)
2024-07-09,au,W.H. Auden,Twelve Songs: IX
2024-07-10,BG,Gwendolyn Brooks,The Bean Eaters
2024-07-11,TB,William Butler Yeats,"Easter, 1916"
2024-07-12,WA,Walt Whitman,Song of Myself
2024-07-13,PPS,,
2024-07-14,PL,Paul Laurence Dunbar,We Wear the Mask
2024-07-15,LC,Lewis Carroll,The Jabberwocky
2024-07-16,JMD,John Milton,Paradise Lost: Book 1
2024-07-17,GA,Allen Ginsberg,A Supermarket in California
2024-07-18,ATP,Alfred Lord Tennyson,Ulysses
2024-07-19,GS,Gertrude Stein,Sacred Emily
2024-07-20,FR,Robert Frost,Mending Wall
2024-07-21,TS,T.S. Eliot,The Waste Land
2024-07-22,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock
2024-07-23,SP,Sylvia Plath,Lady Lazarus
2024-07-24,RF,Robert Frost,Stopping By Woods on a Snowy Evening
2024-07-25,SS,William Shakespeare,Shall I compare thee to a summer’s day?
2024-07-26,WW,William Wordsworth,I wandered Lonely as a Cloud
2024-07-27,ST,Tupac Shakur,The Rose That Grew from Concrete
2024-07-28,PS,Percy Shelley,Ozymandias
2024-07-29,EC,E.E. Cummings,anyone lived in a pretty how town
2024-07-30,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam
2024-07-31,wy,William Butler Yeats,The Second Coming
2024-08-01,KG,Khalil Gibran,On Marriage
2024-08-02,AE,Charles Dickens,A Tale of Two Cities
2024-08-03,AT,Alfred Lord Tennyson,In Memoriam A.H.H. 1849
2024-08-04,MH,Gerard Manley Hopkins,God's Grandeur
2024-08-05,AG,Toni Morrison,Beloved
2024-08-06,ED,Emily Dickinson,I’m Nobody! Who are you? (260)
2024-08-07,EDF,Emily Dickinson,I heard a Fly buzz - when I died -
2024-08-08,WY,William Butler Yeats,The Second Coming
2024-08-09,av,,
2024-08-10,CB,Charles Bukowski,bluebird
2024-08-11,EE,E.E. Cummings,[little tree]
2024-08-12,WB,William Blake,The Tyger
2024-08-13,ed,Emily Dickinson,I’m Nobody! Who are you? (260)
2024-08-14,LB,Lord Byron,She Walks in Beauty
2024-08-15,WS,William Shakespeare,Sonnet 97: How like a winter hath my absence been
2024-08-16,SC,Samuel Taylor Coleridge,Kubla Khan
2024-08-17,WBL,William Blake,The Lamb
2024-08-18,AP,Edgar Allen Poe,Annabel Lee
2024-08-19,JD,John Donne,A Valediction: Forbidding Mourning
2024-08-20,EH,Emily Dickinson,“Hope” is the thing with feathers
2024-08-21,JM,John Milton,On the Morning of Christ's Nativity
2024-08-22,wb,William Blake,The Tyger
2024-08-23,ma,Maya Angelou,Still I Rise
2024-08-24,CM,Claude McKay,If We Must Die
2024-08-25,HL,Henry Wadsworth Longfellow,The Song of Hiawatha
2024-08-26,OC,Walt Whitman,O Captain! My Captain!
2024-08-27,CW,William Carlos Williams,The Red Wheelbarrow
2024-08-28,AF,Jane Austen,Pride and Prejudice
2024-08-29,WH,W.H. Auden,Musée des Beaux Arts
2024-08-30,EM,Edna St. Vincent Millay,"What lips my lips have kissed, and where, and why"
2024-08-31,RB,Robert Browning,My Last Duchess
2024-09-01,AB,Anne Bradstreet,To my dear and loving husband
2024-09-02,WYC,William Butler Yeats,Sailing to Byzantium
2024-09-03,bc,Billy Collins,Snow Day
2024-09-04,at,Alfred Lord Tennyson,In Memoriam A.H.H. 1849
2024-09-05,BJ,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare"
2024-09-06,EP,Ezra Pound,In a Station of the Metro
2024-09-07,JK,John Keats,Ode on a Grecian Urn
2024-09-08,LH,Langston Hughes,Harlem
2024-09-09,AM,Andrew Marvell,To His Coy Mistress
2024-09-10,GB,Gwendolyn Brooks,We Real Cool
2024-09-11,gs,Gertrude Stein,Sacred Emily
2024-09-12,ad,,
2024-09-13,WSJ,Wallace Stevens,Anecdote of the Jar
2024-09-14,HS,John Donne,"Holy Sonnets: Death, be not proud"
2024-09-15,RN,Robert Frost,The Road Not Taken
2024-09-16,GC,Geoffrey Chaucer,"The Canterbury Tales, Prologue"
2024-09-17,CR,Christina Rossetti,Goblin Market
2024-09-18,SSS,Shel Silverstein,Falling Up
2024-09-19,EB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43)
2024-09-20,au,W.H. Auden,Twelve Songs: IX
2024-09-21,BG,Gwendolyn Brooks,The Bean Eaters
2024-09-22,TB,William Butler Yeats,"Easter, 1916"
2024-09-23,WA,Walt Whitman,Song of Myself
2024-09-24,PPS,,
2024-09-25,PL,Paul Laurence Dunbar,We Wear the Mask
2024-09-26,LC,Lewis Carroll,The Jabberwocky
2024-09-27,JMD,John Milton,Paradise Lost: Book 1
2024-09-28,GA,Allen Ginsberg,A Supermarket in California
2024-09-29,ATP,Alfred Lord Tennyson,Ulysses
2024-09-30,GS,Gertrude Stein,Sacred Emily
2024-10-01,FR,Robert Frost,Mending Wall
2024-10-02,TS,T.S. Eliot,The Waste Land
2024-10-03,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock
2024-10-04,SP,Sylvia Plath,Lady Lazarus
2024-10-05,RF,Robert Frost,Stopping By Woods on a Snowy Evening
2024-10-06,SS,William Shakespeare,Shall I compare thee to a summer’s day?
2024-10-07,WW,William Wordsworth,I wandered Lonely as a Cloud
2024-10-08,ST,Tupac Shakur,The Rose That Grew from Concrete
2024-10-09,PS,Percy Shelley,Ozymandias
2024-10-10,EC,E.E. Cummings,anyone lived in a pretty how town
2024-10-11,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam
2024-10-12,wy,William Butler Yeats,The Second Coming
2024-10-13,KG,Khalil Gibran,On Marriage
2024-10-14,AE,Charles Dickens,A Tale of Two Cities
2024-10-15,AT,Alfred Lord Tennyson,In Memoriam A.H.H. 1849
2024-10-16,MH,Gerard Manley Hopkins,God's Grandeur
2024-10-17,AG,Toni Morrison,Beloved
2024-10-18,ED,Emily Dickinson,I’m Nobody! Who are you? (260)
2024-10-19,EDF,Emily Dickinson,I heard a Fly buzz - when I died -
2024-10-20,WY,William Butler Yeats,The Second Coming
2024-10-21,av,,
2024-10-22,CB,Charles Bukowski,bluebird
2024-10-23,EE,E.E. Cummings,[little tree]
2024-10-24,WB,William Blake,The Tyger
2024-10-25,ed,Emily Dickinson,I’m Nobody! Who are you? (260)
2024-10-26,LB,Lord Byron,She Walks in Beauty
2024-10-27,WS,William Shakespeare,Sonnet 97: How like a winter hath my absence been
2024-10-28,SC,Samuel Taylor Coleridge,Kubla Khan
2024-10-29,WBL,William Blake,The Lamb
2024-10-30,AP,Edgar Allen Poe,Annabel Lee
2024-10-31,JD,John Donne,A Valediction: Forbidding Mourning
2024-11-01,EH,Emily Dickinson,“Hope” is the thing with feathers
2024-11-02,JM,John Milton,On the Morning of Christ's Nativity
2024-11-03,wb,William Blake,The Tyger
2024-11-04,ma,Maya Angelou,Still I Rise
2024-11-05,CM,Claude McKay,If We Must Die
2024-11-06,HL,Henry Wadsworth Longfellow,The Song of Hiawatha
2024-11-07,OC,Walt Whitman,O Captain! My Captain!
2024-11-08,CW,William Carlos Williams,The Red Wheelbarrow
2024-11-09,AF,Jane Austen,Pride and Prejudice
2024-11-10,WH,W.H. Auden,Musée des Beaux Arts
2024-11-11,EM,Edna St. Vincent Millay,"What lips my lips have kissed, and where, and why"
2024-11-12,RB,Robert Browning,My Last Duchess
2024-11-13,AB,Anne Bradstreet,To my dear and loving husband
2024-11-14,WYC,William Butler Yeats,Sailing to Byzantium
2024-11-15,bc,Billy Collins,Snow Day
2024-11-16,at,Alfred Lord Tennyson,In Memoriam A.H.H. 1849
2024-11-17,BJ,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare"
2024-11-18,EP,Ezra Pound,In a Station of the Metro
2024-11-19,JK,John Keats,Ode on a Grecian Urn
2024-11-20,LH,Langston Hughes,Harlem
2024-11-21,AM,Andrew Marvell,To His Coy Mistress
2024-11-22,GB,Gwendolyn Brooks,We Real Cool
2024-11-23,gs,Gertrude Stein,Sacred Emily
2024-11-24,ad,,
2024-11-25,WSJ,Wallace Stevens,Anecdote of the Jar
2024-11-26,HS,John Donne,"Holy Sonnets: Death, be not proud"
2024-11-27,RN,Robert Frost,The Road Not Taken
2024-11-28,GC,Geoffrey Chaucer,"The Canterbury Tales, Prologue"
2024-11-29,CR,Christina Rossetti,Goblin Market
2024-11-30,SSS,Shel Silverstein,Falling Up
2024-12-01,EB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43)
2024-12-02,au,W.H. Auden,Twelve Songs: IX
2024-12-03,BG,Gwendolyn Brooks,The Bean Eaters
2024-12-04,TB,William Butler Yeats,"Easter, 1916"
2024-12-05,WA,Walt Whitman,Song of Myself
2024-12-06,PPS,,
2024-12-07,PL,Paul Laurence Dunbar,We Wear the Mask
2024-12-08,LC,Lewis Carroll,The Jabberwocky
2024-12-09,JMD,John Milton,Paradise Lost: Book 1
2024-12-10,GA,Allen Ginsberg,A Supermarket in California
2024-12-11,ATP,Alfred Lord Tennyson,Ulysses
2024-12-12,GS,Gertrude Stein,Sacred Emily
2024-12-13,FR,Robert Frost,Mending Wall
2024-12-14,TS,T.S. Eliot,The Waste Land
2024-12-15,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock
2024-12-16,SP,Sylvia Plath,Lady Lazarus
2024-12-17,RF,Robert Frost,Stopping By Woods on a Snowy Evening
2024-12-18,SS,William Shakespeare,Shall I compare thee to a summer’s day?
2024-12-19,WW,William Wordsworth,I wandered Lonely as a Cloud
2024-12-20,ST,Tupac Shakur,The Rose That Grew from Concrete
2024-12-21,PS,Percy Shelley,Ozymandias
2024-12-22,EC,E.E. Cummings,anyone lived in a pretty how town
2024-12-23,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam
2024-12-24,wy,William Butler Yeats,The Second Coming
2024-12-25,KG,Khalil Gibran,On Marriage
